Bird identity,"Sex 1=male, 0=female",Ageclass,BodyMass g,RightTarsus length,MalariaConsensus 1=yes,year sampled,year,wet/dry season
1556,1,FL,13.5,26.1,1,1999-12-02T00:00:00Z,99,NW monsoon
1557,1,FL,13.6,25.3,0,1999-12-02T00:00:00Z,99,NW monsoon
1558,0,FL,13.8,24.0,1,1999-12-02T00:00:00Z,99,NW monsoon
1560,0,FL,14.1,24.0,1,1999-12-02T00:00:00Z,99,NW monsoon
1561,0,FL,13.1,23.5,1,1999-12-02T00:00:00Z,99,NW monsoon
1562,0,FL,14.2,24.3,1,1999-12-03T00:00:00Z,99,NW monsoon
1563,0,SA,14.1,23.5,1,1999-12-03T00:00:00Z,99,NW monsoon
1564,1,FL,13.6,24.2,1,1999-12-03T00:00:00Z,99,NW monsoon
1565,1,OFL,14.9,24.8,1,1999-12-03T00:00:00Z,99,NW monsoon
1566,1,FL,15.4,25.5,1,1999-12-04T00:00:00Z,99,NW monsoon
1568,0,FL,13.8,23.8,0,1999-12-05T00:00:00Z,99,NW monsoon
1569,1,A,15.5,26.1,1,1999-12-06T00:00:00Z,99,NW monsoon
1570,1,FL,14.0,25.2,0,1999-12-06T00:00:00Z,99,NW monsoon
1503,0,A,13.9,24.5,1,1999-12-07T00:00:00Z,99,NW monsoon
1499,1,A,16.7,25.1,1,2002-07-18T00:00:00Z,2002,SE monsoon
1511,0,A,13.6,23.8,1,2002-07-18T00:00:00Z,2002,SE monsoon
1510,0,A,14.5,23.9,0,2002-07-19T00:00:00Z,2002,SE monsoon
1415,0,A,15.2,23.8,0,2002-07-20T00:00:00Z,2002,SE monsoon
1396,1,A,16.7,24.7,0,2002-07-21T00:00:00Z,2002,SE monsoon
1531,0,A,13.5,24.6,1,2002-07-21T00:00:00Z,2002,SE monsoon
1359,1,A,17.0,27.1,0,2002-07-22T00:00:00Z,2002,SE monsoon
1506,0,A,16.9,24.6,0,2002-07-22T00:00:00Z,2002,SE monsoon
1532,0,A,17.3,24.1,0,2002-07-22T00:00:00Z,2002,SE monsoon
1244,0,A,15.9,22.5,0,2002-07-24T00:00:00Z,2002,SE monsoon
1533,1,A,17.4,26.4,0,2002-07-28T00:00:00Z,2002,SE monsoon
1425,1,A,17.4,25.6,0,2002-07-30T00:00:00Z,2002,SE monsoon
1209,1,A,13.4,25.2,0,2002-07-31T00:00:00Z,2002,SE monsoon
